dupl_subject_id,single_subject_id
39384504,39384504
39384505,39384505
39384506,39384506
39384507,39384507
39384508,39384508
39384509,39384509
39384510,39384510
39384511,39384511
39384512,39384512
39384513,39384513
39384514,39384514
39384515,39384515
39384516,39384516
39384517,39384517
39384518,39384518
39384519,39384519
39384520,39384520
39384521,39384521
39384522,39384522
39384523,39384523
39384524,39384524
39384525,39384525
39384526,39384526
39384527,39384527
39384528,39384528
39384529,39384529
39384530,39384530
39384531,39384531
39384532,39384532
39384533,39384533
39384534,39384534
39384535,39384535
39384536,39384536
39384537,39384537
39384538,39384538
39384539,39384539
39384540,39384540
39384541,39384541
39384542,39384542
39384543,39384543
39384544,39384544
39384545,39384545
39384546,39384546
39384547,39384547
39384548,39384548
39384549,39384549
39384550,39384550
39384551,39384551
39384552,39384552
39384553,39384553
39384554,39384554
39384555,39384555
39384556,39384556
39384557,39384557
39384558,39384558
39384559,39384559
39384560,39384560
39384561,39384561
39384562,39384562
39384563,39384563
39384564,39384564
39384565,39384565
39384566,39384566
39384567,39384567
39384568,39384568
39384569,39384569
39384570,39384570
39384571,39384571
39384572,39384572
39384573,39384573
39384574,39384574
39384575,39384575
39384576,39384576
39384577,39384577
39384578,39384578
39384579,39384579
39384580,39384580
39384581,39384581
39384582,39384582
39384583,39384583
39384584,39384584
39384585,39384585
39384586,39384586
39384587,39384587
39384588,39384588
39384589,39384589
39384590,39384590
39384591,39384591
39384592,39384592
39384593,39384593
39384594,39384594
39384595,39384595
39384596,39384596
39384597,39384597
39384598,39384598
39384599,39384599
39384600,39384600
39384601,39384601
39384602,39384602
39384603,39384603
39384604,39384604
39384605,39384605
39384606,39384606
39384607,39384607
39384608,39384608
39384609,39384609
39384610,39384610
39384611,39384611
39384612,39384612
39384613,39384613
39384614,39384614
39384615,39384615
39384616,39384616
39384617,39384617
39384618,39384618
39384619,39384619
39384620,39384620
39384621,39384621
39384622,39384622
39384623,39384623
39384624,39384624
39384625,39384625
39384626,39384626
39384627,39384627
39384628,39384628
39384629,39384629
39384630,39384630
39384631,39384631
39384632,39384632
39384633,39384633
39384634,39384634
39384635,39384635
39384636,39384636
39384637,39384637
39384638,39384638
39384639,39384639
39384640,39384640
39384641,39384641
39384642,39384642
39384643,39384643
39384644,39384644
39384645,39384645
39384646,39384646
39384647,39384647
39384648,39384648
39384649,39384649
39384650,39384650
39384651,39384651
39384652,39384652
39384653,39384653
39384654,39384654
39384655,39384655
39384656,39384656
39384657,39384657
39384658,39384658
39384659,39384659
39384660,39384660
39384661,39384661
39384662,39384662
39384663,39384663
39384664,39384664
39384665,39384665
39384666,39384666
39384667,39384667
39384668,39384668
39384669,39384669
39384670,39384670
39384671,39384671
39384672,39384672
39384673,39384673
39384674,39384674
39384675,39384675
39384676,39384676
39384677,39384677
39384678,39384678
39384679,39384679
39384680,39384680
39384681,39384681
39384682,39384682
39384683,39384683
39384684,39384684
39384685,39384685
39384686,39384686
39384687,39384687
39384688,39384688
39384689,39384689
39384690,39384690
39384691,39384691
39384692,39384692
39384693,39384693
39384694,39384694
39384695,39384695
39384696,39384696
39384697,39384697
39384698,39384698
39384699,39384699
39384700,39384700
39384701,39384701
39384702,39384702
39384703,39384703
39384704,39384704
39384705,39384705
39384706,39384706
39384707,39384707
39384708,39384708
39384709,39384709
39384710,39384710
39384711,39384711
39384712,39384712
39384713,39384713
39384714,39384714
39384715,39384715
39384716,39384716
39384717,39384717
39384718,39384718
39384719,39384719
39384720,39384720
39384721,39384721
39384722,39384722
39384723,39384723
39384724,39384724
39384725,39384725
39384726,39384726
39384727,39384727
39384728,39384728
39384729,39384729
39384730,39384730
39384731,39384731
39384732,39384732
39384733,39384733
39384734,39384734
39384735,39384735
39384736,39384736
39384737,39384737
39384738,39384738
39384739,39384739
39384740,39384740
39384741,39384741
39384742,39384742
39384743,39384743
39384744,39384744
39384745,39384745
39384746,39384746
39384747,39384747
39384748,39384748
39384749,39384749
39384750,39384750
39384751,39384751
39384752,39384752
39384753,39384753
39384754,39384754
39384755,39384755
39384756,39384756
39384757,39384757
39384758,39384758
39384759,39384759
39384760,39384760
39384761,39384761
39384762,39384762
39384763,39384763
39384764,39384764
39384765,39384765
39384766,39384766
39384767,39384767
39384768,39384768
39384769,39384769
39384770,39384770
39384771,39384771
39384772,39384772
39384773,39384773
39384774,39384774
39384775,39384775
39384776,39384776
39384777,39384777
39384778,39384778
39384779,39384779
39384780,39384780
39384781,39384781
39384782,39384782
39384783,39384783
39384784,39384784
39384785,39384785
39384786,39384786
39384787,39384787
39384788,39384788
39384789,39384789
39384790,39384790
39384791,39384791
39384792,39384792
39384793,39384793
39384794,39384794
39384795,39384795
39384796,39384796
39384797,39384797
39384798,39384798
39384799,39384799
39384800,39384800
39384801,39384801
39384802,39384802
39384803,39384803
39384804,39384804
39384805,39384805
39384806,39384806
39384807,39384807
39384808,39384808
39384809,39384809
39384810,39384810
39384811,39384811
39384812,39384812
39384813,39384813
39384814,39384814
39384815,39384815
39384816,39384816
39384817,39384817
39384818,39384818
39384819,39384819
39384820,39384820
39384821,39384821
39384822,39384822
39384823,39384823
39384824,39384824
39384825,39384825
39384826,39384826
39384827,39384827
39384828,39384828
39384829,39384829
39384830,39384830
39384831,39384831
39384832,39384832
39384833,39384833
39384834,39384834
39384835,39384835
39384836,39384836
39384837,39384837
39384838,39384838
39384839,39384839
39384840,39384840
39384841,39384841
39384842,39384842
39384843,39384843
39384844,39384844
39384845,39384845
39384846,39384846
39384847,39384847
39384848,39384848
39384849,39384849
39384850,39384850
39384851,39384851
39384852,39384852
39384853,39384853
39384854,39384854
39384855,39384855
39384856,39384856
39384857,39384857
39384858,39384858
39384859,39384859
39384860,39384860
39384861,39384861
39384862,39384862
39384863,39384863
39384864,39384864
39384865,39384865
39384866,39384866
39384867,39384867
39384868,39384868
39384869,39384869
39384870,39384870
39384871,39384871
39384872,39384872
39384873,39384873
39384874,39384874
39384875,39384875
39384876,39384876
39384877,39384877
39384878,39384878
39384879,39384879
39384880,39384880
39384881,39384881
39384882,39384882
39384883,39384883
39384884,39384884
39384885,39384885
39384886,39384886
39384887,39384887
39384888,39384888
39384889,39384889
39384890,39384890
39384891,39384891
39384892,39384892
39384893,39384893
39384894,39384894
39384895,39384895
39384896,39384896
39384897,39384897
39384898,39384898
39384899,39384899
39384900,39384900
39384901,39384901
39384902,39384902
39384903,39384903
39384904,39384904
39384905,39384905
39384906,39384906
39384907,39384907
39384908,39384908
39384909,39384909
39384910,39384910
39384911,39384911
39384912,39384912
39384913,39384913
39384914,39384914
39384915,39384915
39384916,39384916
39384917,39384917
39384918,39384918
39384919,39384919
39384920,39384920
39384921,39384921
39384922,39384922
39384923,39384923
39384924,39384924
39384925,39384925
39384926,39384926
39384927,39384927
39384928,39384928
39384929,39384929
39384930,39384930
39384931,39384931
39384932,39384932
39384933,39384933
39384934,39384934
39384935,39384935
39384936,39384936
39384937,39384937
39384938,39384938
39384939,39384939
39384940,39384940
39384941,39384941
39384942,39384942
39384943,39384943
39384944,39384944
40154710,40154710
40154711,40154711
40154712,40154712
40154713,40154713
40154714,40154714
40154721,40154721
40154722,40154722
40154723,40154723
40154724,40154724
40154725,40154725
40154727,40154727
40154732,40154732
40154733,40154733
40154734,40154734
40154736,40154736
40154739,40154739
40154742,40154742
40154743,40154743
40154744,40154744
40154746,40154746
40154748,40154748
40154755,40154755
40154756,40154756
40154758,40154758
40154759,40154759
40154761,40154761
40154767,40154767
40154768,40154768
40154770,40154770
40154771,40154771
40154776,40154776
40154787,40154787
40154790,40154790
40154793,40154793
40154794,40154794
40154797,40154797
40154811,40154811
40154813,40154813
40154818,40154818
40154821,40154821
40154825,40154825
40154834,40154834
40154835,40154835
40154840,40154840
40154841,40154841
40154845,40154845
40154858,40154858
40154859,40154859
40154862,40154862
40154864,40154864
40154868,40154868
40154882,40154882
40154883,40154883
40154889,40154889
40154890,40154890
40154893,40154893
40154909,40154909
40154910,40154910
40154917,40154917
40154918,40154918
40154920,40154920
40154931,40154931
40154932,40154932
40154935,40154935
40154936,40154936
40154940,40154940
40154951,40154951
40154953,40154953
40154958,40154958
40154961,40154961
40154964,40154964
40154980,40154980
40154982,40154982
40154984,40154984
40154987,40154987
40154990,40154990
40154993,40154993
40155006,40155006
40155007,40155007
40155011,40155011
40155013,40155013
40155017,40155017
40155022,40155022
40155033,40155033
40155036,40155036
40155041,40155041
40155043,40155043
40155048,40155048
40155057,40155057
40155058,40155058
40155064,40155064
40155066,40155066
40155069,40155069
40155078,40155078
40155081,40155081
40155087,40155087
40155089,40155089
40155094,40155094
40155101,40155101
40155104,40155104
40155110,40155110
40155111,40155111
40155116,40155116
40155125,40155125
40155128,40155128
40155134,40155134
40155135,40155135
40155140,40155140
40155146,40155146
40155150,40155150
40155158,40155158
40155159,40155159
40155163,40155163
40155168,40155168
40155170,40155170
40155175,40155175
40155177,40155177
40155185,40155185
40155192,40155192
40155196,40155196
40155202,40155202
40155203,40155203
40155207,40155207
40155213,40155213
40155218,40155218
40155223,40155223
40155224,40155224
